"(1259581.0, 21)","(1199164.0, 27)",1230923.02
"(1264616.0, 20)","(1211054.0, 25)",1244722.8133333332
"(1269053.0, 20)","(1210874.0, 25)",1251345.4
"(1273394.0, 19)","(1224661.0, 24)",1254975.5533333332
"(1282495.0, 18)","(1224778.0, 24)",1259179.24
"(1282495.0, 18)","(1233326.0, 23)",1263792.9666666666
"(1282495.0, 18)","(1213843.0, 24)",1266533.2066666668
"(1282495.0, 18)","(1236377.0, 23)",1269617.2933333332
"(1282909.0, 18)","(1239200.0, 22)",1272433.7533333334
"(1287977.0, 17)","(1232792.0, 22)",1275014.66
"(1287977.0, 17)","(1250374.0, 21)",1277347.0266666666
"(1289210.0, 17)","(1243606.0, 21)",1278260.5066666666
"(1290290.0, 17)","(1233332.0, 22)",1278945.9266666668
"(1290038.0, 17)","(1248448.0, 21)",1279885.0666666667
"(1290659.0, 17)","(1249402.0, 21)",1282360.4333333333
"(1295546.0, 16)","(1247044.0, 21)",1283082.7933333332
"(1295546.0, 16)","(1253411.0, 20)",1284006.12
"(1295753.0, 16)","(1256921.0, 20)",1286404.46
"(1295969.0, 16)","(1249222.0, 21)",1288852.5666666667
"(1296203.0, 16)","(1263746.0, 19)",1290995.5333333334
"(1297274.0, 16)","(1260962.0, 20)",1290451.3533333333
"(1298579.0, 16)","(1248529.0, 21)",1290611.4133333333
"(1298642.0, 16)","(1251305.0, 20)",1290457.6333333333
"(1298642.0, 16)","(1255427.0, 20)",1291131.4533333334
"(1298642.0, 16)","(1253821.0, 21)",1291483.54
"(1298741.0, 16)","(1249415.0, 20)",1290833.5466666666
"(1298741.0, 16)","(1260323.0, 20)",1294005.5666666667
"(1298741.0, 16)","(1258388.0, 20)",1292936.1066666667
"(1298822.0, 16)","(1252282.0, 21)",1293311.46
"(1299317.0, 16)","(1246387.0, 21)",1294445.8866666667
"(1299551.0, 16)","(1247053.0, 21)",1293802.12
"(1300127.0, 16)","(1258748.0, 20)",1292645.26
"(1300127.0, 16)","(1244677.0, 21)",1292943.5666666667
"(1300127.0, 16)","(1249528.0, 21)",1293017.0066666666
"(1300235.0, 16)","(1258352.0, 20)",1293856.7266666666
"(1300631.0, 16)","(1259423.0, 20)",1292664.56
"(1300775.0, 16)","(1254455.0, 20)",1294087.02
"(1300775.0, 16)","(1260512.0, 20)",1295813.58
"(1300775.0, 16)","(1257511.0, 21)",1295153.7
"(1300775.0, 16)","(1254109.0, 21)",1294974.6133333333
"(1300793.0, 16)","(1261628.0, 20)",1295857.3
"(1300793.0, 16)","(1254770.0, 20)",1295772.2733333334
"(1300793.0, 16)","(1250590.0, 21)",1295587.4533333334
"(1301081.0, 16)","(1251400.0, 21)",1295380.2733333334
"(1301081.0, 16)","(1255103.0, 20)",1295575.86
"(1301837.0, 16)","(1259198.0, 20)",1296646.9933333334
"(1301837.0, 16)","(1264913.0, 20)",1295576.7133333334
"(1301837.0, 16)","(1262423.0, 19)",1296387.04
