Flower width,Flower height
38,18
33,48
20,49
31,4
48,46
41,14
26,3
18,30
28,4
39,8
48,24
34,42
42,49
8,16
8,19
1,14
22,42
5,28
47,32
12,1
23,46
11,39
17,38
14,22
21,25
36,32
38,40
35,27
17,44
23,26
17,12
46,3
37,22
19,7
27,50
32,2
12,42
3,49
45,26
23,19
40,29
18,44
16,15
47,33
47,7
23,35
27,3
44,35
45,5
34,25
1,34
31,29
6,25
8,16
7,44
25,36
1,15
21,49
25,11
46,11
42,44
43,40
2,38
16,1
35,40
21,34
47,37
37,48
29,49
45,16
3,38
37,8
38,15
23,25
9,47
21,24
28,50
27,19
25,39
12,12
18,26
22,40
20,31
30,9
49,43
18,31
21,34
34,38
35,15
11,9
1,30
27,18
48,31
1,4
19,41
28,6
47,37
27,1
49,11
42,18
