"(2384553.0, 46)","(2158241.0, 57)",2267024.2
"(2402784.0, 47)","(2200136.0, 54)",2312668.7666666666
"(2457519.0, 43)","(2242428.0, 52)",2350950.6266666665
"(2457519.0, 43)","(2266503.0, 52)",2383841.9
"(2461290.0, 43)","(2284242.0, 52)",2414154.96
"(2472341.0, 42)","(2333061.0, 47)",2441406.1666666665
"(2473169.0, 42)","(2368323.0, 47)",2453711.0933333333
"(2474771.0, 42)","(2406720.0, 46)",2458309.986666667
"(2483202.0, 41)","(2397036.0, 46)",2466573.54
"(2485614.0, 41)","(2395029.0, 46)",2467989.92
"(2485614.0, 41)","(2439978.0, 44)",2472529.0866666664
"(2503269.0, 40)","(2418018.0, 44)",2473165.62
"(2503269.0, 40)","(2432787.0, 44)",2479557.3133333335
"(2503269.0, 40)","(2441958.0, 43)",2480310.986666667
"(2503269.0, 40)","(2406525.0, 44)",2481946.78
"(2507427.0, 40)","(2416866.0, 44)",2489734.2933333335
"(2507427.0, 40)","(2448500.0, 42)",2494649.14
"(2513511.0, 40)","(2423571.0, 44)",2497840.2733333334
"(2513511.0, 40)","(2426136.0, 43)",2496570.006666667
"(2516040.0, 40)","(2434479.0, 43)",2502113.56
"(2518596.0, 40)","(2448087.0, 43)",2504443.506666667
"(2518596.0, 40)","(2447502.0, 43)",2508846.546666667
"(2518632.0, 40)","(2457366.0, 43)",2509891.5933333333
"(2525756.0, 39)","(2445108.0, 44)",2510142.14
"(2525756.0, 39)","(2452839.0, 43)",2510323.68
"(2527862.0, 39)","(2446169.0, 42)",2511965.46
"(2527997.0, 39)","(2458265.0, 42)",2514470.1066666665
"(2527997.0, 39)","(2475914.0, 42)",2520818.6133333333
"(2531637.0, 38)","(2448527.0, 42)",2521073.3133333335
"(2534418.0, 38)","(2478990.0, 41)",2523090.2666666666
"(2534418.0, 38)","(2455557.0, 43)",2523250.7933333335
"(2534418.0, 38)","(2476623.0, 41)",2525155.0
"(2535012.0, 38)","(2463150.0, 41)",2525781.74
"(2535210.0, 38)","(2479944.0, 41)",2527974.8666666667
"(2536128.0, 38)","(2466750.0, 41)",2528020.7666666666
"(2536128.0, 38)","(2473074.0, 40)",2528040.053333333
"(2536722.0, 38)","(2447645.0, 42)",2526315.5733333332
"(2536722.0, 38)","(2455151.0, 42)",2525283.6133333333
"(2536722.0, 38)","(2462450.0, 42)",2527277.02
"(2536722.0, 38)","(2458130.0, 42)",2530637.046666667
"(2541042.0, 38)","(2465877.0, 41)",2531804.6933333334
"(2541042.0, 38)","(2456400.0, 41)",2531642.1533333333
"(2541042.0, 38)","(2469972.0, 41)",2531131.3266666667
"(2546154.0, 38)","(2480774.0, 42)",2532711.2933333335
"(2546154.0, 38)","(2496015.0, 40)",2533687.1666666665
"(2546154.0, 38)","(2463530.0, 42)",2534699.9266666668
"(2546784.0, 38)","(2486982.0, 41)",2534914.6866666665
"(2547000.0, 38)","(2453486.0, 42)",2537643.9
"(2547009.0, 38)","(2476083.0, 41)",2541997.76
"(2547504.0, 38)","(2487564.0, 40)",2541907.98
"(2547900.0, 38)","(2411303.0, 45)",2539560.06
"(2548944.0, 38)","(2468255.0, 42)",2541675.66
"(2549700.0, 38)","(2478324.0, 41)",2540206.5866666664
"(2549700.0, 38)","(2491878.0, 41)",2538756.6866666665
"(2552148.0, 38)","(2486687.0, 42)",2542249.946666667
"(2552148.0, 38)","(2484320.0, 42)",2543660.78
"(2558442.0, 37)","(2473925.0, 42)",2542743.0733333332
"(2558442.0, 37)","(2462045.0, 42)",2544347.34
"(2559783.0, 37)","(2486199.0, 41)",2545803.34
"(2560359.0, 37)","(2490408.0, 40)",2546264.6666666665
"(2561403.0, 37)","(2455293.0, 41)",2551205.0
"(2561403.0, 37)","(2479935.0, 41)",2553233.96
"(2561484.0, 37)","(2505294.0, 40)",2551120.4
