Flower width,Flower height
36,40
37,28
9,46
43,5
45,12
37,17
11,16
6,50
19,47
41,25
44,34
16,2
7,14
10,20
25,11
33,14
50,13
27,2
17,19
38,2
28,7
19,19
37,28
46,33
45,26
3,49
6,46
19,10
43,17
44,44
23,32
26,1
7,3
48,19
12,50
16,35
25,10
16,6
4,38
4,7
49,21
15,36
15,5
49,42
5,11
31,25
6,13
21,30
6,27
46,8
46,29
14,39
29,27
21,19
38,5
41,16
16,42
9,34
31,37
38,15
31,21
49,30
7,34
38,18
25,24
45,28
6,21
11,38
39,15
11,6
31,36
11,29
46,5
19,43
41,2
31,40
21,2
15,21
17,10
26,19
13,42
22,11
47,46
48,34
17,22
7,11
14,9
7,50
48,39
10,27
24,39
12,3
20,49
28,13
24,32
37,49
26,11
47,45
46,36
37,50
