Flower width,Flower height
42,6
15,34
3,50
24,28
50,49
37,45
43,27
1,34
6,16
21,11
34,40
29,38
32,29
28,3
10,8
43,26
44,49
4,10
7,18
12,28
13,33
1,6
33,26
17,13
13,23
9,12
14,21
42,21
13,41
25,47
25,37
3,36
8,10
8,20
33,28
34,6
45,31
32,18
27,29
43,44
12,24
26,43
10,13
7,30
4,50
41,50
40,31
12,37
6,12
35,33
17,16
47,47
46,47
30,14
47,39
6,32
39,4
3,22
29,39
38,11
31,3
19,46
32,28
19,37
30,37
17,38
5,10
16,17
9,14
16,44
32,38
46,6
11,21
26,50
43,26
33,19
10,11
35,38
24,26
15,21
31,43
18,18
10,28
36,19
34,24
13,37
14,26
23,22
49,14
18,5
19,17
24,25
22,33
22,11
28,36
37,38
8,43
31,34
10,2
39,33
6,4
35,15
12,2
5,35
3,10
33,41
20,8
36,15
33,14
29,45
48,24
45,40
2,32
20,2
46,6
36,40
45,10
14,22
42,7
22,16
27,5
17,15
33,34
19,7
31,29
33,47
35,23
30,5
29,15
15,7
23,37
28,44
9,44
17,29
23,14
43,47
30,50
47,11
6,9
37,26
3,11
31,2
50,20
45,4
27,22
18,11
13,37
23,8
4,23
48,14
