Flower width,Flower height
9,2
96,55
81,24
84,69
31,70
23,18
83,56
3,35
74,67
4,32
33,40
10,18
77,91
88,5
46,67
27,59
15,77
41,63
100,68
29,5
4,15
46,98
57,73
91,35
60,93
28,91
6,78
100,93
39,61
84,98
51,9
20,9
5,29
56,23
88,12
88,82
57,22
69,63
23,21
70,67
99,40
82,53
11,49
8,42
58,68
89,40
22,56
86,40
29,61
14,59
22,26
20,64
72,2
100,2
71,80
61,56
88,82
31,39
33,16
9,72
31,39
18,53
92,84
16,81
19,93
87,73
37,1
31,84
38,94
64,56
62,99
11,73
56,15
78,26
85,3
17,75
17,17
14,66
75,37
36,69
48,54
11,78
76,17
78,10
54,21
100,23
1,31
48,63
51,86
45,11
80,86
21,78
1,54
35,77
41,66
46,68
26,77
97,85
85,48
16,67
