Flower width,Flower height
24,56
27,56
58,45
4,2
87,63
42,11
90,33
83,71
99,98
94,48
50,22
31,7
58,95
1,71
67,69
11,23
39,4
84,55
19,99
8,5
36,89
62,26
44,22
16,26
33,82
43,100
43,68
95,25
92,91
2,31
33,14
96,32
25,64
7,53
63,18
58,67
39,9
13,99
36,71
65,27
21,66
87,23
7,33
54,54
99,63
3,10
65,52
9,72
53,24
43,20
42,7
66,17
55,92
27,7
11,80
19,1
89,97
55,36
29,26
38,60
7,13
9,83
63,89
71,21
3,15
79,86
66,72
70,89
96,53
6,86
71,45
70,58
80,57
79,74
89,42
11,1
46,15
22,75
3,88
64,69
38,99
16,16
35,20
6,28
30,74
52,53
62,12
25,85
65,30
16,51
93,60
81,48
85,39
4,26
67,17
36,16
99,56
5,87
92,45
80,85
