Flower width,Flower height
1,3
8,8
2,6
2,9
1,6
9,6
7,3
8,10
6,7
2,1
8,2
3,6
7,6
4,7
8,9
4,3
10,2
1,5
4,7
9,2
6,4
1,8
4,1
1,4
1,1
3,1
4,3
7,3
1,4
4,10
7,5
9,4
7,1
3,7
4,3
7,1
1,5
5,5
10,2
10,1
1,1
2,6
8,6
1,7
5,8
9,4
2,3
6,9
4,4
5,5
4,1
7,7
9,9
10,8
6,2
7,2
6,10
1,9
8,1
10,10
10,2
3,2
6,6
7,1
1,9
6,9
8,1
8,5
3,6
1,9
10,10
4,2
6,3
8,1
8,3
1,1
8,6
6,1
9,4
3,7
4,5
6,9
6,3
7,4
3,3
2,6
8,2
4,1
10,10
3,7
2,10
7,5
8,10
10,2
1,2
2,3
6,8
1,5
3,4
10,1
