Flower width,Flower height
32,32
24,38
90,50
98,59
67,21
49,90
69,88
76,12
34,83
95,70
7,81
50,8
39,82
76,79
34,71
100,82
44,87
17,16
84,36
32,18
73,40
74,62
74,54
83,26
84,43
45,32
12,47
34,92
30,15
62,93
84,26
59,34
91,95
95,29
68,53
89,69
63,51
71,17
14,23
45,40
83,63
3,9
88,62
21,16
76,36
29,80
85,67
35,51
78,33
98,12
95,88
42,8
19,92
1,22
87,29
44,66
58,19
3,27
19,14
17,34
9,57
19,91
98,9
61,95
87,70
46,20
81,81
63,42
99,20
17,51
26,84
65,56
37,26
77,57
84,27
74,62
84,18
73,35
13,34
86,99
85,70
92,53
55,15
24,45
50,52
76,25
34,23
79,89
9,3
48,43
45,34
93,55
16,41
23,4
57,72
23,26
30,39
53,2
68,95
93,86
12,99
16,37
64,67
53,78
88,79
54,85
17,13
100,21
49,37
20,35
68,17
90,94
68,25
35,93
21,68
14,77
24,61
47,3
68,90
85,34
42,89
100,6
47,63
19,15
75,53
90,45
74,62
59,91
77,25
47,66
11,94
15,50
36,47
55,68
76,14
47,40
30,44
8,40
56,55
82,54
86,58
18,82
46,34
70,96
45,4
71,85
68,88
53,81
77,51
78,35
68,23
85,66
28,85
19,37
12,58
9,84
21,59
23,45
39,100
66,49
90,78
59,99
69,32
82,48
67,16
16,69
19,89
16,91
85,91
61,42
87,35
76,65
81,7
45,31
74,72
57,20
24,27
29,12
46,87
24,77
12,71
80,44
3,45
85,41
75,66
5,89
22,54
23,62
30,66
71,14
9,11
56,75
24,29
48,63
99,30
51,75
38,100
77,97
47,43
57,14
