Flower width,Flower height
44,34
79,23
42,4
34,51
41,21
67,6
77,55
19,46
94,14
83,1
62,45
11,56
53,49
64,16
13,59
52,52
41,68
20,76
87,4
53,86
30,52
10,87
20,12
48,90
30,9
76,68
55,79
23,92
93,100
81,59
12,92
26,30
72,80
26,75
52,36
29,95
72,22
79,26
24,25
8,45
29,94
48,39
21,40
55,24
9,15
81,12
8,1
31,89
58,6
39,48
42,66
33,7
19,68
21,42
58,49
100,57
1,27
79,30
66,35
24,73
91,97
75,8
65,23
75,80
26,80
81,6
89,76
99,12
19,95
49,99
83,87
54,79
45,100
76,57
95,58
17,8
54,78
12,18
55,84
10,80
93,88
97,28
11,85
72,66
77,75
88,17
27,50
24,48
3,66
65,32
52,51
23,83
54,80
13,28
57,57
6,27
28,14
34,72
5,41
50,22
64,14
94,67
5,41
80,68
68,43
48,12
89,36
39,89
66,94
47,59
59,1
59,2
11,52
72,35
22,96
28,20
6,4
92,80
96,33
41,49
49,59
59,47
65,32
43,58
74,91
11,25
96,42
93,11
88,26
19,38
73,12
17,28
65,34
35,65
16,31
100,12
47,11
13,86
30,28
34,37
27,49
40,27
7,45
16,77
100,80
60,51
78,77
67,30
28,59
86,54
98,98
23,98
33,91
24,97
54,75
65,86
54,30
72,98
15,83
1,60
66,31
2,61
28,19
3,63
24,77
9,10
92,97
55,44
16,3
13,89
66,87
6,36
7,46
18,50
45,72
69,22
43,80
6,45
68,60
33,94
18,9
8,59
80,68
100,13
78,7
83,6
82,60
46,99
77,42
77,18
8,13
66,6
45,66
34,26
70,54
52,86
14,92
63,40
36,30
52,61
27,3
18,1
32,94
88,59
10,60
86,56
48,33
36,36
56,72
30,93
22,74
41,64
53,56
42,63
98,72
37,2
77,60
19,20
52,29
89,15
40,63
40,24
29,85
100,2
98,99
23,76
62,89
73,19
57,69
77,24
51,58
71,42
10,35
57,13
11,6
78,93
35,96
34,92
17,18
93,64
2,36
9,76
95,23
45,17
91,52
51,43
31,29
93,5
51,2
91,44
6,37
73,70
8,16
48,98
40,2
96,86
60,83
94,36
36,81
75,19
64,30
4,69
43,4
72,71
10,9
79,52
65,91
29,7
87,80
30,43
31,43
40,84
63,93
71,1
23,54
88,70
99,76
10,92
69,76
14,12
43,57
50,64
19,36
46,64
3,53
49,92
65,4
12,16
80,49
78,43
26,2
64,46
67,58
43,75
29,57
42,1
26,86
29,49
19,73
79,27
23,57
21,36
47,95
29,57
25,15
96,100
64,65
17,39
87,96
75,86
98,38
72,61
17,44
5,32
67,85
23,90
78,56
85,28
13,53
34,88
82,48
21,5
45,24
34,13
46,78
86,24
7,2
16,14
88,54
30,60
85,49
44,45
21,76
26,90
57,65
2,11
41,96
59,36
92,71
96,75
82,47
15,82
49,5
79,83
31,59
88,10
71,52
83,72
10,22
61,38
83,34
5,97
85,61
96,67
97,55
26,14
77,93
99,18
39,55
78,18
71,18
17,97
71,7
27,37
99,13
99,5
99,68
81,69
77,21
15,15
28,78
90,26
71,38
69,62
8,10
86,75
32,28
53,56
89,71
55,36
8,95
20,2
24,57
29,93
76,82
50,24
30,8
40,1
6,60
23,13
16,3
32,47
91,14
22,68
99,27
55,64
84,30
50,24
21,2
68,55
