Flower width,Flower height
19,30
50,7
42,17
1,2
50,37
10,2
34,38
32,43
2,28
50,40
14,20
6,2
19,30
23,3
6,38
25,17
14,32
39,15
43,40
36,18
25,13
6,20
31,36
41,8
43,11
19,18
42,16
1,29
43,13
12,17
45,29
26,4
32,39
20,21
45,22
22,6
43,10
18,34
15,13
5,6
10,39
35,16
43,38
49,22
26,46
14,7
50,46
48,38
1,11
21,39
21,45
43,36
16,48
15,36
32,46
6,9
42,14
43,11
26,8
42,2
15,16
42,16
18,32
2,21
49,31
14,50
13,19
45,20
22,16
29,31
7,13
48,7
35,40
13,36
13,13
34,39
44,36
12,29
48,2
8,38
29,44
42,37
21,46
5,11
37,30
28,35
15,33
5,47
23,42
18,16
23,6
25,25
6,8
26,22
33,29
48,4
21,33
38,4
42,13
33,40
50,34
1,43
42,42
38,30
45,27
44,12
26,31
45,3
34,33
3,10
28,25
8,40
40,41
41,19
1,13
11,25
43,46
2,4
17,43
45,18
12,11
44,8
17,20
33,3
6,40
14,1
42,34
17,47
19,40
3,44
22,42
36,50
6,12
27,48
8,1
42,38
43,22
50,11
45,22
1,33
23,17
36,28
11,23
31,18
5,9
27,28
46,23
24,6
47,49
28,29
10,40
21,10
23,17
38,48
30,27
25,2
36,9
38,3
35,34
29,2
28,16
13,2
25,50
46,40
25,29
9,2
13,33
19,40
9,30
38,46
17,37
34,49
6,44
25,22
10,13
35,30
25,20
45,12
3,17
24,21
23,40
39,47
42,13
40,49
34,18
8,43
47,8
41,44
41,29
44,36
28,41
28,50
28,7
29,1
35,46
45,22
36,32
12,11
33,8
24,32
