Flower width,Flower height
37,10
25,45
40,16
47,35
31,48
48,37
37,2
18,20
32,33
4,2
46,34
6,12
10,39
45,26
24,1
35,23
37,2
22,9
3,21
24,5
21,45
6,2
19,5
25,29
39,21
6,38
25,25
19,17
4,44
18,38
31,23
37,19
33,47
48,11
37,10
41,8
2,36
17,14
11,1
50,28
25,19
48,22
36,34
33,33
35,21
12,1
34,5
11,21
28,6
26,1
13,49
16,4
22,8
49,32
23,46
33,24
48,44
5,49
50,47
11,8
8,21
48,49
36,15
47,30
2,16
45,5
40,37
45,35
3,25
39,8
13,31
12,23
26,26
44,26
29,34
10,35
6,23
29,36
37,12
26,39
48,48
36,25
50,3
15,47
1,27
44,46
4,13
13,3
10,49
33,50
7,38
42,46
10,46
28,14
48,34
9,6
48,43
46,2
16,7
28,31
29,46
20,49
10,46
3,33
35,30
36,28
4,36
28,26
4,38
43,43
5,7
29,35
21,25
16,22
42,18
23,46
50,23
23,26
20,44
44,16
7,17
22,1
21,29
23,16
2,24
23,34
27,40
4,44
44,22
19,37
24,26
2,5
14,2
44,15
48,28
48,34
41,6
18,38
41,28
47,27
10,40
6,17
49,29
18,25
15,14
46,21
39,5
9,23
31,36
29,7
9,49
29,21
40,27
35,29
28,11
11,15
4,31
33,26
25,1
4,25
13,10
49,10
29,28
49,33
43,19
1,33
48,10
2,43
23,4
33,14
32,39
1,44
49,2
45,47
19,43
6,11
24,16
42,24
9,38
25,20
6,18
24,46
16,3
46,40
26,38
26,3
21,34
21,27
12,11
26,24
26,37
20,47
48,38
48,32
9,45
25,11
32,49
43,36
50,34
10,42
