Flower width,Flower height
40,12
41,16
28,3
16,24
25,39
33,39
43,13
14,1
15,34
12,16
5,30
46,5
27,39
6,24
27,47
50,25
10,31
35,47
18,44
50,46
17,2
29,11
42,13
12,43
48,30
42,30
38,30
17,38
11,11
32,47
49,45
39,39
27,2
38,12
32,28
16,5
10,48
32,11
9,3
12,41
31,3
14,4
32,50
26,19
1,32
28,2
49,3
14,6
45,43
37,35
1,29
34,31
44,14
3,48
21,36
25,48
13,26
29,29
42,7
42,44
14,23
48,15
47,42
9,10
22,1
15,29
35,49
22,27
24,28
27,27
31,25
11,37
11,39
24,28
49,42
46,14
21,2
19,17
47,28
36,3
46,28
9,36
37,19
40,7
28,6
2,46
34,37
25,4
17,10
33,32
36,29
14,33
38,35
47,50
29,50
30,7
47,50
36,40
45,6
39,32
40,36
28,11
33,11
6,28
17,39
16,17
9,18
40,39
38,45
50,24
29,29
27,14
15,35
3,5
39,9
45,14
34,8
29,40
37,43
2,32
28,50
2,20
49,11
28,21
21,45
39,41
43,4
27,4
8,38
13,15
46,8
1,6
25,42
25,39
10,1
18,15
5,30
10,47
13,33
36,36
38,48
29,21
50,10
21,40
40,43
3,48
41,10
31,36
1,41
32,37
12,21
28,8
42,41
28,35
50,17
32,30
13,38
39,37
23,43
18,38
21,5
12,29
22,3
50,6
2,42
26,46
31,42
29,15
11,21
23,5
37,12
10,14
24,36
1,9
44,36
18,30
30,39
17,24
8,41
12,12
10,50
50,19
27,35
15,34
11,18
7,20
2,39
18,31
25,48
29,6
36,9
5,6
29,33
4,35
49,2
40,50
31,12
6,10
27,13
23,21
