Flower width,Flower height
11,64
89,42
2,53
50,14
71,15
15,24
2,15
21,13
94,4
25,14
56,16
28,84
73,67
23,47
69,49
85,78
5,74
13,4
32,3
94,5
37,21
24,88
54,47
19,73
84,80
97,82
92,33
22,98
6,7
37,58
78,46
31,84
13,18
25,59
53,48
68,79
49,12
44,17
29,76
42,85
6,67
53,58
80,69
64,92
54,21
39,49
11,79
92,47
42,3
18,86
17,1
82,89
79,70
58,14
1,21
67,27
46,24
17,56
5,64
13,98
14,7
87,78
25,6
87,15
82,79
60,4
37,3
95,86
4,59
43,9
57,90
65,3
74,97
33,55
53,86
52,20
6,33
80,98
11,4
78,66
65,41
59,71
27,54
87,57
61,99
97,11
44,35
17,55
27,24
84,22
24,29
15,96
32,91
100,86
11,86
13,19
36,16
87,15
87,18
70,54
65,41
62,76
36,71
68,73
97,37
43,36
38,86
71,56
19,71
51,97
22,12
71,90
86,69
36,82
93,80
24,66
32,76
72,34
77,19
76,42
3,16
70,60
57,31
54,18
26,59
39,80
53,95
78,20
36,30
80,7
24,77
10,20
13,38
17,9
10,37
1,67
20,33
37,47
86,57
68,67
100,8
6,9
43,2
76,12
28,91
64,33
81,45
93,5
38,32
100,28
1,62
54,100
70,38
88,20
90,9
96,93
18,34
60,59
48,48
34,1
52,40
24,79
100,38
49,61
21,83
14,11
52,39
32,5
85,14
18,5
42,63
74,4
55,62
59,23
88,38
33,85
36,44
85,85
39,9
11,89
30,82
78,22
57,10
70,85
68,43
78,84
55,81
99,88
6,72
13,69
5,65
16,29
51,81
84,73
29,5
39,36
94,55
67,43
85,50
99,93
52,74
79,10
70,36
32,25
38,82
24,88
80,28
67,33
1,65
82,47
8,82
68,56
36,7
74,45
61,56
61,100
3,37
24,68
14,65
100,2
92,38
23,35
49,79
55,1
3,3
71,91
43,8
2,43
33,1
30,47
67,70
19,99
47,18
26,63
14,74
94,9
24,68
99,34
87,98
37,93
18,51
73,82
85,81
45,62
52,50
23,7
71,43
96,21
33,71
9,75
98,88
80,36
76,79
92,69
70,84
29,90
97,6
85,92
59,12
62,70
86,40
52,1
34,81
3,34
1,36
64,80
67,76
73,42
40,26
14,77
54,54
86,66
71,64
79,26
28,1
93,38
75,86
20,52
55,97
96,75
2,86
7,68
41,32
1,80
82,92
97,77
63,37
17,35
83,47
32,22
67,27
72,55
57,53
30,61
20,72
65,89
74,85
56,86
69,67
32,87
88,84
10,31
75,59
20,79
83,59
88,74
81,95
41,50
30,37
15,98
92,21
93,81
34,57
68,79
21,29
81,58
40,15
59,68
92,76
53,3
62,13
74,93
11,73
17,40
61,44
85,63
68,73
67,52
59,70
89,30
9,93
34,33
18,91
8,98
27,34
12,17
97,16
61,58
18,98
53,72
59,13
32,54
18,26
82,3
75,81
41,36
53,74
84,79
20,16
99,37
96,21
12,64
73,4
28,93
57,55
49,50
26,75
14,85
98,54
64,2
9,69
87,10
99,35
93,36
95,86
86,76
72,23
40,51
18,66
32,89
46,70
82,90
38,63
78,99
3,4
79,74
2,22
77,9
98,31
30,82
85,60
63,33
100,7
36,56
36,82
63,22
26,25
41,82
56,51
8,11
83,83
16,94
88,10
38,10
60,40
12,61
70,81
35,71
13,21
31,14
