Flower width,Flower height
96,10
89,22
46,12
4,8
31,69
15,68
88,26
67,52
67,97
58,64
31,18
85,30
57,46
45,23
10,81
74,69
21,23
2,37
59,56
81,50
39,66
23,17
97,73
90,81
22,34
51,9
30,25
60,34
19,39
68,45
94,63
13,59
10,71
67,68
60,6
77,66
18,4
32,9
36,7
11,75
91,35
66,1
25,17
92,56
39,59
13,82
19,60
57,75
33,70
41,38
52,98
24,53
11,35
79,58
91,15
78,35
95,12
36,77
26,44
9,51
7,64
12,58
26,65
68,88
75,12
33,2
95,86
10,4
40,77
39,23
48,61
87,72
68,10
57,81
15,43
58,51
65,5
100,62
55,100
4,13
83,84
43,11
82,36
73,94
30,25
25,35
10,39
38,44
54,2
33,51
41,21
89,42
25,42
20,96
83,63
15,17
38,72
78,38
27,1
33,67
47,61
61,22
4,9
16,75
80,28
59,77
4,54
15,12
92,35
36,17
70,56
32,83
27,96
74,35
10,52
70,46
38,1
72,51
48,43
33,48
27,79
91,20
64,21
43,30
42,68
94,15
72,69
65,28
65,60
10,37
84,12
80,85
4,92
40,36
15,33
92,40
46,23
36,56
76,21
41,53
93,4
82,52
46,87
79,46
42,55
64,84
8,60
69,38
72,67
75,76
6,40
38,90
39,35
84,61
11,51
63,63
7,97
59,54
38,12
53,28
86,62
24,51
63,71
17,38
53,100
19,83
67,69
17,34
95,22
17,28
92,37
80,74
58,7
84,93
8,56
63,67
26,11
34,28
91,33
60,27
95,33
1,23
10,40
47,41
61,76
24,92
97,85
72,15
62,90
76,39
24,2
12,66
33,45
98,61
41,53
7,97
49,91
65,8
65,7
78,14
