Flower width,Flower height
18,40
8,44
23,9
50,29
19,21
25,37
23,12
30,4
39,30
29,36
14,10
32,15
41,31
39,49
29,25
35,41
37,28
25,7
20,2
31,20
28,21
6,40
1,43
1,49
14,40
28,35
43,23
43,8
25,3
46,46
7,25
41,48
29,22
4,5
4,1
8,48
31,3
13,40
13,8
41,11
37,19
47,18
31,34
12,14
27,5
15,22
39,11
44,21
14,29
22,43
30,36
38,23
43,41
28,44
34,41
45,12
25,27
13,27
10,5
26,7
16,5
39,36
46,33
41,49
3,35
1,6
18,15
22,15
9,16
50,39
45,30
10,12
20,28
50,14
21,5
9,2
46,21
31,27
35,9
39,14
25,12
18,6
43,17
33,20
30,32
12,7
8,27
45,42
27,27
31,15
4,42
4,36
16,49
20,2
12,50
45,32
47,28
6,20
2,32
48,24
40,36
32,23
44,27
26,47
9,9
40,14
50,25
12,20
22,4
20,13
40,12
22,23
38,18
26,23
47,46
34,1
10,35
41,22
43,44
8,3
40,39
36,50
29,19
19,3
20,10
46,23
50,41
22,8
13,6
10,14
26,25
41,22
30,44
13,15
49,11
24,16
1,48
44,34
31,10
43,50
36,14
2,8
2,50
39,21
24,15
12,14
10,20
40,38
26,18
26,32
