Flower width,Flower height
22,7
50,6
18,29
21,4
49,28
11,3
21,43
37,47
21,11
38,2
35,23
5,7
19,12
49,30
8,42
49,31
24,5
24,13
22,23
37,24
7,45
23,46
30,4
30,46
10,39
25,8
44,42
11,45
1,4
12,14
12,38
23,5
25,30
38,5
10,23
18,47
25,20
13,38
29,28
27,45
40,12
1,42
21,29
20,31
46,23
41,8
42,40
13,17
12,42
13,6
29,23
32,38
36,22
1,39
44,37
25,27
29,4
22,10
50,45
37,13
6,50
20,48
21,1
17,47
11,36
33,42
35,13
2,33
15,34
30,9
14,16
29,11
41,32
25,28
1,29
21,13
40,25
4,33
17,10
15,33
8,15
44,44
23,42
8,3
41,12
23,11
33,40
39,14
3,6
46,27
39,41
14,9
28,10
21,10
9,48
14,50
38,30
32,1
24,42
29,3
45,16
25,14
35,21
45,21
1,33
10,10
36,45
5,50
25,5
33,38
19,6
39,23
35,1
43,49
33,22
27,46
37,4
26,9
37,31
46,25
4,11
27,21
3,5
32,38
39,20
37,25
29,6
33,22
31,46
14,38
46,17
2,14
20,19
2,43
36,50
17,8
29,18
48,38
9,6
4,12
42,16
49,39
16,8
9,15
13,30
15,27
22,16
2,33
42,23
6,24
