Flower width,Flower height
50,33
38,27
50,33
15,17
13,23
37,10
30,21
22,27
48,34
30,45
26,10
47,44
29,19
49,16
44,16
35,20
44,25
38,24
11,40
37,39
37,20
25,11
10,35
24,50
36,23
16,35
23,24
30,10
12,47
33,24
14,20
49,14
40,41
43,40
29,19
33,16
26,45
13,47
16,32
31,49
49,46
39,43
27,32
26,33
20,42
15,45
18,12
15,27
48,35
48,11
11,22
49,41
33,20
16,21
23,30
22,25
47,36
13,23
31,36
36,30
28,21
44,14
29,13
20,21
23,37
29,14
35,12
40,22
12,25
20,27
40,22
10,16
39,44
20,41
46,18
46,40
35,31
47,26
27,40
21,11
44,11
42,26
23,10
48,15
43,14
26,19
20,34
14,34
34,48
13,29
47,13
28,17
28,14
11,50
22,49
27,50
22,10
17,50
42,16
46,16
47,14
42,30
43,22
36,24
35,33
44,22
50,20
12,42
45,14
40,19
45,13
31,47
49,25
24,35
49,44
17,35
11,16
36,48
23,12
40,50
45,31
10,48
48,23
29,46
30,18
17,28
45,44
42,48
14,11
43,31
29,15
33,38
40,19
10,27
47,36
34,50
23,46
46,38
33,30
11,35
38,25
23,35
31,27
29,47
19,11
16,38
48,23
43,37
43,14
43,34
44,32
12,49
30,12
36,23
42,36
49,44
44,12
29,36
24,11
12,35
24,24
23,17
39,36
14,32
48,30
33,25
34,49
48,20
12,26
50,50
30,50
35,44
48,18
33,47
39,15
43,43
37,49
37,46
34,21
41,23
19,47
47,10
13,35
48,20
40,42
32,27
11,10
38,12
32,50
32,20
19,46
25,46
15,19
19,42
11,42
18,21
43,47
45,19
46,48
38,49
39,11
23,39
39,18
18,45
23,24
21,30
27,31
38,15
18,46
31,33
18,10
12,42
39,19
49,47
10,30
48,37
34,20
14,48
47,38
30,50
47,24
19,17
41,49
23,28
16,35
42,44
42,12
16,42
32,16
12,46
40,41
23,35
44,23
34,41
35,33
47,23
20,27
17,43
45,40
19,19
42,30
45,23
50,43
41,44
31,11
39,47
18,10
42,11
50,46
19,48
19,38
47,15
44,46
21,41
48,25
48,35
18,10
10,23
45,43
28,34
35,10
16,42
17,27
37,19
20,13
50,13
49,20
11,36
43,13
41,16
27,17
18,10
27,14
43,33
48,24
38,24
26,50
49,35
40,27
49,14
35,39
34,28
20,30
12,40
15,24
13,10
10,43
47,19
48,24
41,47
43,20
35,11
45,30
21,24
48,47
33,29
48,17
47,30
30,26
27,10
27,49
22,48
32,15
45,40
41,15
29,19
13,11
37,50
29,35
12,16
12,16
40,11
40,15
37,22
17,42
44,23
47,29
27,45
17,49
33,26
47,37
29,24
18,44
12,11
29,32
31,10
19,26
29,18
19,29
20,21
28,35
38,36
15,23
14,38
12,16
48,25
13,19
42,22
20,14
28,10
43,19
36,50
39,34
18,16
32,42
37,13
35,18
24,10
13,17
45,22
39,16
13,37
45,36
17,50
34,13
49,21
40,19
33,31
23,40
11,25
39,46
47,22
29,23
30,12
14,35
16,37
30,42
32,23
40,33
11,37
18,16
50,42
45,33
23,45
18,25
39,15
45,39
13,41
26,27
30,19
18,49
20,47
36,47
11,39
14,40
39,26
49,26
30,40
11,28
22,28
50,15
35,33
24,46
19,44
45,40
26,30
34,39
49,42
26,38
42,15
