Flower width,Flower height
15,6
31,2
15,34
25,36
2,47
40,28
4,18
40,17
2,9
49,27
35,41
7,47
34,4
16,18
43,45
39,15
42,27
2,12
19,3
44,4
31,4
44,31
30,26
44,21
20,19
18,13
26,31
49,19
15,43
14,23
42,47
18,40
2,3
41,32
17,39
24,21
25,22
23,20
21,23
18,12
37,37
21,11
6,26
35,12
16,34
48,13
24,39
42,43
10,15
49,22
26,50
41,45
42,35
10,42
13,50
33,36
20,49
24,44
3,29
25,20
45,10
6,23
35,2
47,24
42,18
47,11
40,10
33,42
33,45
3,33
22,38
18,18
28,10
19,10
50,25
47,27
11,19
40,3
28,36
2,46
26,7
27,31
23,22
46,14
34,8
3,50
10,27
45,38
45,1
13,22
39,23
19,16
17,13
47,8
37,34
27,31
15,12
27,9
26,43
42,28
