Flower width,Flower height
12,13
8,13
3,6
7,1
3,4
10,5
2,5
12,4
3,12
3,3
5,16
9,5
11,3
9,16
10,2
4,6
12,2
11,6
7,7
1,6
1,16
3,6
11,1
5,16
9,15
8,1
10,5
6,9
2,1
9,5
12,7
2,7
12,14
3,8
9,2
3,6
10,4
5,4
6,13
5,14
3,12
6,14
10,12
9,16
4,14
9,7
7,9
9,11
11,10
10,1
9,13
2,8
9,11
4,10
8,1
2,3
12,13
6,5
2,6
10,10
9,11
12,7
1,5
11,3
12,3
11,13
10,3
6,11
1,11
2,15
11,11
12,5
8,4
12,2
11,1
10,9
1,4
10,9
6,13
9,7
1,3
6,3
1,9
8,6
7,4
2,14
1,1
10,16
12,11
2,15
1,6
5,15
6,15
1,9
6,9
8,9
11,1
4,15
9,1
7,8
