Flower width,Flower height
6,7
3,4
8,1
2,10
4,1
6,15
7,12
3,10
7,6
12,1
10,7
1,13
4,3
5,14
6,9
1,9
9,5
7,6
10,7
3,16
9,8
3,14
2,7
8,6
10,10
7,13
12,3
4,12
2,9
2,10
2,10
10,2
10,14
7,6
7,13
9,10
1,12
4,14
7,14
5,4
6,16
5,6
8,10
6,16
8,14
10,10
11,1
7,2
6,12
10,9
7,4
10,4
9,11
5,9
8,1
9,7
6,11
10,7
8,11
3,14
5,15
2,3
12,2
3,15
11,12
11,15
9,13
7,4
9,8
5,11
5,3
10,6
11,6
4,11
5,7
3,5
11,11
2,10
10,10
3,3
6,8
7,13
7,14
8,8
2,8
6,6
1,1
9,9
6,11
1,12
6,15
3,6
6,1
12,11
5,2
10,3
1,8
4,2
5,2
8,16
7,10
3,5
5,16
11,7
10,5
8,8
7,1
6,14
4,5
3,7
8,1
8,7
6,3
9,7
2,10
3,8
2,1
2,11
2,14
9,10
9,6
3,14
5,4
3,16
11,3
11,6
10,9
1,8
12,4
4,5
4,12
1,1
4,14
2,13
2,2
2,6
5,4
3,7
11,13
12,10
2,7
1,12
4,13
10,2
3,16
1,15
9,8
8,1
10,15
3,13
1,15
3,10
9,5
2,6
5,9
3,10
11,7
10,16
2,12
5,8
12,1
8,10
5,11
4,14
10,7
3,12
5,13
10,15
2,1
3,13
10,14
3,8
6,10
6,4
11,6
3,16
8,2
11,6
3,14
12,15
6,11
9,13
6,6
5,4
6,1
11,1
2,6
2,7
5,3
8,10
10,6
12,8
9,13
3,9
3,13
8,13
11,8
3,3
6,7
12,13
