Flower width,Flower height
27,27
53,48
14,14
31,13
48,25
38,23
58,40
43,33
30,11
39,11
57,33
24,30
24,34
60,8
58,34
9,31
41,21
5,29
11,21
43,29
9,37
53,12
42,29
10,41
57,7
47,38
59,23
8,18
8,12
33,48
31,48
43,48
38,38
35,36
51,46
56,45
44,13
16,22
22,41
45,30
37,43
26,32
20,43
50,27
11,29
57,30
51,17
49,19
56,31
58,17
58,13
25,13
31,21
28,29
48,16
52,9
30,10
59,29
36,14
38,36
45,15
52,12
26,24
8,43
21,44
50,16
12,44
41,21
58,21
47,33
13,34
44,48
8,10
45,29
44,21
46,48
32,37
58,33
34,46
24,26
