Flower width,Flower height
91,15
19,14
63,98
28,29
59,93
70,33
44,40
33,84
57,11
36,7
31,68
6,23
60,14
16,100
59,31
14,89
83,94
7,5
70,46
49,29
8,91
42,71
67,35
34,4
80,45
10,89
41,33
9,81
31,41
7,14
97,77
63,97
65,85
85,41
11,67
34,6
56,63
91,74
93,80
95,81
94,77
35,77
62,16
58,13
74,85
27,25
82,57
14,35
62,32
47,81
53,51
47,93
42,55
42,73
37,76
75,55
14,79
94,42
46,19
24,91
59,40
60,92
32,64
85,84
27,99
68,8
37,60
88,68
41,38
40,2
20,53
35,22
72,62
8,3
36,1
58,6
98,27
41,93
98,37
14,70
60,20
83,72
14,12
2,22
100,7
20,28
13,85
15,72
50,33
8,41
13,75
42,87
31,52
75,16
88,34
54,57
75,96
90,41
79,92
25,31
43,76
65,68
12,13
6,97
53,3
73,31
7,86
58,16
49,47
91,1
59,62
59,82
58,69
57,40
32,33
20,97
19,78
92,71
11,3
3,55
55,30
19,54
26,15
84,33
7,82
16,19
9,86
30,53
27,83
27,5
84,24
32,58
47,45
58,27
15,8
81,87
6,21
93,85
31,13
1,24
43,1
25,9
83,51
95,96
65,75
30,74
9,9
42,72
65,65
19,19
