Flower width,Flower height
55,8
11,17
15,26
74,10
42,32
60,87
57,77
62,21
48,19
83,18
51,38
100,100
54,68
80,92
17,77
50,44
96,100
74,54
81,22
9,95
58,24
31,88
11,96
80,27
10,23
89,5
85,40
94,36
69,32
69,88
40,40
78,59
90,87
51,16
8,25
78,57
1,34
54,24
44,51
49,59
59,90
39,2
1,66
26,52
84,60
6,74
87,21
12,25
19,85
78,71
23,79
66,34
16,79
20,5
59,19
53,2
32,33
13,81
63,77
61,42
84,100
48,59
54,38
28,54
60,98
32,88
92,55
12,61
74,19
56,77
76,25
33,18
10,30
47,41
56,2
3,29
73,1
53,50
54,42
45,85
81,23
32,87
36,28
30,68
81,56
2,65
19,2
63,80
91,81
40,38
59,83
80,37
28,16
18,12
47,1
77,28
96,97
49,26
60,90
87,81
98,11
94,38
16,18
3,94
38,2
21,14
52,90
15,88
100,95
36,73
70,80
69,97
41,44
79,58
48,15
84,5
36,20
62,92
58,41
29,34
20,5
51,51
90,46
73,94
75,23
13,32
79,96
45,2
24,77
19,47
6,73
22,96
48,6
52,62
67,91
10,60
86,46
98,94
9,48
84,24
87,8
68,95
93,59
25,37
37,46
9,95
26,56
1,92
80,81
91,97
