Flower width,Flower height
63,79
74,55
97,39
42,26
26,77
13,3
90,74
24,71
57,3
47,43
50,51
75,3
3,16
3,85
58,55
94,9
49,2
11,6
82,50
48,16
73,35
9,35
40,37
54,59
4,43
46,86
7,82
9,72
9,53
36,8
78,34
95,37
54,37
29,98
93,79
43,3
68,83
98,61
18,43
67,54
32,78
69,65
65,1
73,82
49,27
2,77
37,78
82,46
79,91
60,99
51,30
21,49
25,2
77,63
52,56
45,15
82,79
32,51
14,66
70,16
28,29
49,14
61,100
83,9
46,10
2,95
46,71
72,62
85,31
5,69
68,67
88,43
69,66
70,39
55,88
8,30
6,94
60,33
6,77
22,93
11,80
69,88
46,78
80,21
62,10
18,69
92,54
14,62
2,2
45,31
17,2
98,86
51,64
60,5
15,23
39,92
46,81
80,63
32,64
66,96
50,16
32,91
92,100
15,95
93,72
84,62
87,16
37,62
12,71
10,40
75,48
33,55
43,61
53,1
70,21
32,96
46,68
46,58
51,99
44,67
89,35
97,13
15,45
87,5
15,87
29,57
20,69
24,28
54,81
60,29
16,20
11,34
33,77
54,1
90,41
29,7
52,68
89,76
84,52
18,40
19,12
54,19
88,38
51,50
96,12
61,28
84,91
30,85
55,95
42,42
