"(49761404.0, 41)","(44974625.0, 52)",47477813.986666664
"(49731967.0, 42)","(46126682.0, 49)",48374946.28666667
"(50288939.0, 41)","(47164763.0, 46)",49007467.653333336
"(50296283.0, 41)","(47911331.0, 46)",49416759.913333334
"(50310890.0, 41)","(48301633.0, 45)",49650260.66
"(50462603.0, 40)","(47350145.0, 46)",49849128.35333333
"(50674553.0, 40)","(47409143.0, 47)",50021651.1
"(50749523.0, 40)","(48468053.0, 44)",50162492.17333333
"(50882507.0, 40)","(47922247.0, 45)",50271274.64
"(50865290.0, 40)","(48233305.0, 45)",50466253.92
"(51165712.0, 39)","(47273909.0, 47)",50451726.31333333
"(51165712.0, 39)","(48694478.0, 43)",50590743.11333334
"(51165712.0, 39)","(48721952.0, 44)",50721432.013333336
"(51609839.0, 38)","(48667835.0, 44)",50831251.053333335
"(51609839.0, 38)","(47048873.0, 47)",50897824.39333333
"(51609839.0, 38)","(48092014.0, 45)",51112766.31333333
"(51746771.0, 37)","(49887278.0, 41)",51216169.58
"(51746771.0, 37)","(50292215.0, 40)",51324930.63333333
"(51773096.0, 37)","(50013701.0, 41)",51384058.626666665
"(51798719.0, 37)","(50264567.0, 41)",51474582.28666667
"(51798719.0, 37)","(50573618.0, 40)",51547569.72
"(51831443.0, 37)","(50358770.0, 40)",51613866.88666666
"(51840866.0, 37)","(50657975.0, 40)",51626382.81333333
"(51840866.0, 37)","(50734090.0, 39)",51685054.82
"(52021396.0, 36)","(50491952.0, 40)",51703236.626666665
"(52031764.0, 36)","(50780170.0, 39)",51736770.70666666
"(52069942.0, 36)","(50664817.0, 39)",51757562.38
"(52072678.0, 36)","(50956628.0, 38)",51782479.733333334
"(52112260.0, 36)","(51089747.0, 38)",51857608.32666667
"(52112260.0, 36)","(50724829.0, 39)",51928662.32
"(52160059.0, 36)","(50898691.0, 39)",51963629.43333333
"(52160059.0, 36)","(50600818.0, 39)",51967852.946666665
"(52162876.0, 36)","(50858596.0, 39)",51971954.693333335
"(52260013.0, 36)","(50918171.0, 38)",52024167.94
"(52260013.0, 36)","(50685569.0, 40)",51990703.233333334
"(52260013.0, 36)","(51235979.0, 38)",52067161.02666666
"(52260013.0, 36)","(50855599.0, 39)",52076407.79333334
"(52472693.0, 35)","(50756986.0, 39)",52121718.3
"(52472693.0, 35)","(50733127.0, 39)",52174709.873333335
"(52527836.0, 35)","(51011411.0, 38)",52217193.77333333
"(52527836.0, 35)","(51124681.0, 39)",52219268.64
"(52527836.0, 35)","(51259325.0, 38)",52333429.68
"(52573376.0, 35)","(50970992.0, 38)",52388142.4
"(52574240.0, 35)","(51232316.0, 38)",52390112.52666666
"(52574240.0, 35)","(50910634.0, 39)",52405240.666666664
"(52584932.0, 35)","(51666086.0, 37)",52465416.193333335
"(52584932.0, 35)","(50875156.0, 39)",52470760.86666667
"(52586723.0, 35)","(50603183.0, 40)",52489904.82
"(52586723.0, 35)","(51089149.0, 39)",52475958.333333336
"(52621679.0, 35)","(51289507.0, 39)",52483387.593333334
"(52627961.0, 35)","(51414905.0, 37)",52489676.126666665
"(52629752.0, 35)","(51116288.0, 38)",52500900.62
"(52641209.0, 35)","(51536216.0, 37)",52517669.46666667
