Flower width,Flower height
91,79
35,50
19,89
76,30
74,28
17,34
61,58
53,84
15,21
96,88
72,54
29,71
65,41
38,54
24,63
1,48
4,90
67,54
91,88
73,65
61,42
73,77
69,28
36,63
4,68
40,35
30,78
86,31
26,46
74,20
39,20
17,80
52,50
12,44
65,65
70,19
49,56
21,79
60,11
45,64
18,70
66,93
4,12
2,44
37,51
82,20
89,1
75,49
92,33
52,76
81,37
100,70
90,94
26,26
58,74
77,46
2,86
39,71
48,45
96,26
7,61
52,85
34,25
14,37
54,100
40,26
91,9
1,100
43,70
85,78
13,37
25,61
41,18
49,88
45,80
52,87
62,35
6,41
35,23
19,91
49,28
87,32
31,70
58,99
88,38
83,35
93,44
99,54
5,85
67,50
66,10
29,48
8,99
80,70
24,41
70,8
50,43
44,62
45,4
57,30
25,30
98,88
80,30
54,54
59,97
64,73
56,50
58,60
7,77
63,93
91,6
45,17
30,58
74,100
95,42
43,6
92,36
86,8
61,59
43,82
31,83
73,25
6,77
92,51
50,40
96,18
55,5
19,42
17,43
10,9
68,10
70,84
4,36
42,47
58,73
36,72
9,10
43,78
93,31
96,46
86,15
49,52
52,42
41,56
89,8
98,37
76,46
77,24
12,56
90,26
43,37
24,69
83,40
80,33
57,20
92,14
41,36
61,82
79,84
42,65
34,96
3,1
95,7
12,14
7,75
90,91
35,15
57,32
31,33
72,82
22,68
64,22
95,33
13,51
56,30
22,35
4,44
96,17
56,72
50,2
95,81
5,99
86,33
80,63
23,58
60,39
39,68
92,64
4,35
81,67
93,3
12,87
55,9
59,36
8,89
75,67
42,29
71,64
91,10
36,1
